;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 7/4/2017 9:26:14 PM
;----------------------------------------------

;Address Opcode 	ASM
0x02F0	0x263E      	ADDWF       FARG_Lcd_Chr_CP_out_char, 1 
;projetoFinal2.c,131 :: 		Lcd_Chr_CP(ucValor2);
0x02F2	0xDF93      	RCALL       _Lcd_Chr_CP
;projetoFinal2.c,132 :: 		}
L_end_Converte_BCD:
0x02F4	0x0012      	RETURN      0
; end of _Converte_BCD
_I2C1_Rd:
;__Lib_I2C_c34.c,60 :: 		
;__Lib_I2C_c34.c,63 :: 		
0x02F6	0x969E      	BCF         PIR1, 3 
;__Lib_I2C_c34.c,64 :: 		
0x02F8	0x86C5      	BSF         SSPCON2, 3 
;__Lib_I2C_c34.c,66 :: 		
L_I2C1_Rd12:
0x02FA	0xB69E      	BTFSC       PIR1, 3 
0x02FC	0xD001      	BRA         L_I2C1_Rd13
;__Lib_I2C_c34.c,67 :: 		
0x02FE	0xD7FD      	BRA         L_I2C1_Rd12
L_I2C1_Rd13:
;__Lib_I2C_c34.c,69 :: 		
0x0300	0xF001CFC9  	MOVFF       SSPBUF, R1
;__Lib_I2C_c34.c,70 :: 		
0x0304	0x5033      	MOVF        FARG_I2C1_Rd_ack, 0 
0x0306	0x0A00      	XORLW       0
0x0308	0xE102      	BNZ         L_I2C1_Rd14
;__Lib_I2C_c34.c,71 :: 		
0x030A	0x8AC5      	BSF         SSPCON2, 5 
0x030C	0xD001      	BRA         L_I2C1_Rd15
L_I2C1_Rd14:
;__Lib_I2C_c34.c,73 :: 		
0x030E	0x9AC5      	BCF         SSPCON2, 5 
L_I2C1_Rd15:
;__Lib_I2C_c34.c,75 :: 		
0x0310	0x969E      	BCF         PIR1, 3 
;__Lib_I2C_c34.c,76 :: 		
0x0312	0x88C5      	BSF         SSPCON2, 4 
;__Lib_I2C_c34.c,78 :: 		
L_I2C1_Rd16:
0x0314	0xB69E      	BTFSC       PIR1, 3 
0x0316	0xD001      	BRA         L_I2C1_Rd17
;__Lib_I2C_c34.c,79 :: 		
0x0318	0xD7FD      	BRA         L_I2C1_Rd16
L_I2C1_Rd17:
;__Lib_I2C_c34.c,81 :: 		
0x031A	0xF000C001  	MOVFF       R1, R0
;__Lib_I2C_c34.c,82 :: 		
L_end_I2C1_Rd:
0x031E	0x0012      	RETURN      0
; end of _I2C1_Rd
_I2C1_Start:
;__Lib_I2C_c34.c,36 :: 		
;__Lib_I2C_c34.c,39 :: 		
0x0320	0x6A33      	CLRF        I2C1_Start_j_L0 
0x0322	0x6A34      	CLRF        I2C1_Start_j_L0+1 
L_I2C1_Start2:
0x0324	0x5034      	MOVF        I2C1_Start_j_L0+1, 0 
0x0326	0x0812      	SUBLW       18
0x0328	0xE102      	BNZ         L__I2C1_Start27
0x032A	0x5033      	MOVF        I2C1_Start_j_L0, 0 
0x032C	0x088E      	SUBLW       142
L__I2C1_Start27:
0x032E	0xE307      	BNC         L_I2C1_Start3
;__Lib_I2C_c34.c,40 :: 		
0x0330	0xDF7A      	RCALL       _I2C1_Is_Idle
0x0332	0x5200      	MOVF        R0, 1 
0x0334	0xE001      	BZ          L_I2C1_Start5
;__Lib_I2C_c34.c,41 :: 		
0x0336	0xD003      	BRA         L_I2C1_Start3
L_I2C1_Start5:
;__Lib_I2C_c34.c,39 :: 		
0x0338	0x4A33      	INFSNZ      I2C1_Start_j_L0, 1 
0x033A	0x2A34      	INCF        I2C1_Start_j_L0+1, 1 
;__Lib_I2C_c34.c,42 :: 		
0x033C	0xD7F3      	BRA         L_I2C1_Start2
L_I2C1_Start3:
;__Lib_I2C_c34.c,44 :: 		
0x033E	0x0E12      	MOVLW       18
0x0340	0x5C34      	SUBWF       I2C1_Start_j_L0+1, 0 
0x0342	0xE102      	BNZ         L__I2C1_Start28
0x0344	0x0E8F      	MOVLW       143
0x0346	0x5C33      	SUBWF       I2C1_Start_j_L0, 0 
L__I2C1_Start28:
0x0348	0xE303      	BNC         L_I2C1_Start6
;__Lib_I2C_c34.c,45 :: 		
0x034A	0x0E7B      	MOVLW       123
0x034C	0x6E00      	MOVWF       R0 
0x034E	0xD005      	BRA         L_end_I2C1_Start
L_I2C1_Start6:
;__Lib_I2C_c34.c,47 :: 		
0x0350	0x80C5      	BSF         SSPCON2, 0 
;__Lib_I2C_c34.c,48 :: 		
L_I2C1_Start8:
0x0352	0xA0C5      	BTFSS       SSPCON2, 0 
0x0354	0xD001      	BRA         L_I2C1_Start9
;__Lib_I2C_c34.c,49 :: 		
0x0356	0xD7FD      	BRA         L_I2C1_Start8
L_I2C1_Start9:
;__Lib_I2C_c34.c,50 :: 		
0x0358	0x6A00      	CLRF        R0 
;__Lib_I2C_c34.c,52 :: 		
L_end_I2C1_Start:
0x035A	0x0012      	RETURN      0
; end of _I2C1_Start
_I2C1_Init:
;__Lib_I2C_c34.c,4 :: 		
;__Lib_I2C_c34.c,11 :: 		
0x035C	0x9894      	BCF         TRISC4_bit, BitPos(TRISC4_bit+0) 
;__Lib_I2C_c34.c,12 :: 		
0x035E	0x9694      	BCF         TRISC3_bit, BitPos(TRISC3_bit+0) 
;__Lib_I2C_c34.c,15 :: 		
0x0360	0x988B      	BCF         LATC4_bit, BitPos(LATC4_bit+0) 
;__Lib_I2C_c34.c,16 :: 		
0x0362	0x968B      	BCF         LATC3_bit, BitPos(LATC3_bit+0) 
;__Lib_I2C_c34.c,19 :: 		
0x0364	0x8894      	BSF         TRISC4_bit, BitPos(TRISC4_bit+0) 
;__Lib_I2C_c34.c,20 :: 		
0x0366	0x8694      	BSF         TRISC3_bit, BitPos(TRISC3_bit+0) 
;__Lib_I2C_c34.c,22 :: 		
0x0368	0x9EC7      	BCF         SSPSTAT, 7 
;__Lib_I2C_c34.c,23 :: 		
0x036A	0x9CC7      	BCF         SSPSTAT, 6 
;__Lib_I2C_c34.c,24 :: 		
0x036C	0x0E38      	MOVLW       56
0x036E	0x6EC6      	MOVWF       SSPCON1 
;__Lib_I2C_c34.c,27 :: 		
L_end_I2C1_Init:
0x0370	0x0012      	RETURN      0
; end of _I2C1_Init
_I2C1_Wr:
;__Lib_I2C_c34.c,84 :: 		
;__Lib_I2C_c34.c,86 :: 		
0x0372	0x969E      	BCF         PIR1, 3 
;__Lib_I2C_c34.c,87 :: 		
0x0374	0xFFC9C033  	MOVFF       FARG_I2C1_Wr_data_, SSPBUF
;__Lib_I2C_c34.c,89 :: 		
L_I2C1_Wr18:
0x0378	0xA4C7      	BTFSS       SSPSTAT, 2 
0x037A	0xD001      	BRA         L_I2C1_Wr19
;__Lib_I2C_c34.c,90 :: 		
0x037C	0xD7FD      	BRA         L_I2C1_Wr18
L_I2C1_Wr19:
;__Lib_I2C_c34.c,92 :: 		
L_I2C1_Wr20:
0x037E	0xB69E      	BTFSC       PIR1, 3 
0x0380	0xD001      	BRA         L_I2C1_Wr21
;__Lib_I2C_c34.c,93 :: 		
0x0382	0xD7FD      	BRA         L_I2C1_Wr20
L_I2C1_Wr21:
;__Lib_I2C_c34.c,95 :: 		
0x0384	0xBCC5      	BTFSC       SSPCON2, 6 
0x0386	0xD002      	BRA         L_I2C1_Wr22
;__Lib_I2C_c34.c,96 :: 		
0x0388	0x6A00      	CLRF        R0 
0x038A	0xD003      	BRA         L_end_I2C1_Wr
;__Lib_I2C_c34.c,97 :: 		
L_I2C1_Wr22:
;__Lib_I2C_c34.c,99 :: 		
0x038C	0x84C5      	BSF         SSPCON2, 2 
;__Lib_I2C_c34.c,100 :: 		
0x038E	0x0E02      	MOVLW       2
0x0390	0x6E00      	MOVWF       R0 
;__Lib_I2C_c34.c,102 :: 		
L_end_I2C1_Wr:
0x0392	0x0012      	RETURN      0
; end of _I2C1_Wr
_I2C1_Repeated_Start:
;__Lib_I2C_c34.c,54 :: 		
;__Lib_I2C_c34.c,55 :: 		
0x0394	0x82C5      	BSF         SSPCON2, 1 
;__Lib_I2C_c34.c,56 :: 		
L_I2C1_Repeated_Start10:
0x0396	0xA2C5      	BTFSS       SSPCON2, 1 
0x0398	0xD001      	BRA         L_I2C1_Repeated_Start11
;__Lib_I2C_c34.c,57 :: 		
0x039A	0xD7FD      	BRA         L_I2C1_Repeated_Start10
L_I2C1_Repeated_Start11:
;__Lib_I2C_c34.c,58 :: 		
L_end_I2C1_Repeated_Start:
0x039C	0x0012      	RETURN      0
; end of _I2C1_Repeated_Start
_I2C1_Stop:
;__Lib_I2C_c34.c,105 :: 		
;__Lib_I2C_c34.c,106 :: 		
0x039E	0x84C5      	BSF         SSPCON2, 2 
;__Lib_I2C_c34.c,107 :: 		
L_end_I2C1_Stop:
0x03A0	0x0012      	RETURN      0
; end of _I2C1_Stop
_ADC_Read:
;__Lib_ADC_A_D.c,35 :: 		
;__Lib_ADC_A_D.c,38 :: 		
0x03A2	0x6AC2      	CLRF        ADCON0 
;__Lib_ADC_A_D.c,39 :: 		
0x03A4	0x0E07      	MOVLW       7
0x03A6	0x12C0      	IORWF       ADCON2, 1 
;__Lib_ADC_A_D.c,40 :: 		
0x03A8	0x8EC0      	BSF         ADCON2, 7 
;__Lib_ADC_A_D.c,41 :: 		
0x03AA	0xF000C037  	MOVFF       FARG_ADC_Read_channel, R0
0x03AE	0x3600      	RLCF        R0, 1 
0x03B0	0x9000      	BCF         R0, 0 
0x03B2	0x3600      	RLCF        R0, 1 
0x03B4	0x9000      	BCF         R0, 0 
0x03B6	0x5000      	MOVF        R0, 0 
0x03B8	0x12C2      	IORWF       ADCON0, 1 
;__Lib_ADC_A_D.c,42 :: 		
0x03BA	0x80C2      	BSF         ADCON0, 0 
;__Lib_ADC_A_D.c,43 :: 		
0x03BC	0xDF7E      	RCALL       _Delay_22us
;__Lib_ADC_A_D.c,44 :: 		
0x03BE	0x82C2      	BSF         ADCON0, 1 
;__Lib_ADC_A_D.c,45 :: 		
L_ADC_Read2:
0x03C0	0xA2C2      	BTFSS       ADCON0, 1 
0x03C2	0xD001      	BRA         L_ADC_Read3
;__Lib_ADC_A_D.c,46 :: 		
0x03C4	0xD7FD      	BRA         L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_D.c,47 :: 		
0x03C6	0xF001CFC4  	MOVFF       ADRESH, R1
0x03CA	0x6A00      	CLRF        R0 
;__Lib_ADC_A_D.c,48 :: 		
0x03CC	0x50C3      	MOVF        ADRESL, 0 
0x03CE	0x1200      	IORWF       R0, 1 
0x03D0	0x0E00      	MOVLW       0
0x03D2	0x1201      	IORWF       R1, 1 
;__Lib_ADC_A_D.c,49 :: 		
0x03D4	0x90C2      	BCF         ADCON0, 0 
;__Lib_ADC_A_D.c,51 :: 		
;__Lib_ADC_A_D.c,52 :: 		
L_end_ADC_Read:
0x03D6	0x0012      	RETURN      0
; end of _ADC_Read
_Leitura_RTC:
;projetoFinal2.c,134 :: 		void Leitura_RTC()
;projetoFinal2.c,136 :: 		I2C1_Start();
0x03D8	0xDFA3      	RCALL       _I2C1_Start
;projetoFinal2.c,137 :: 		I2C1_Wr(0xD0);
0x03DA	0x0ED0      	MOVLW       208
0x03DC	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x03DE	0xDFC9      	RCALL       _I2C1_Wr
;projetoFinal2.c,138 :: 		I2C1_Wr(0);
0x03E0	0x6A33      	CLRF        FARG_I2C1_Wr_data_ 
0x03E2	0xDFC7      	RCALL       _I2C1_Wr
;projetoFinal2.c,139 :: 		I2C1_Repeated_Start();
0x03E4	0xDFD7      	RCALL       _I2C1_Repeated_Start
;projetoFinal2.c,140 :: 		I2C1_Wr(0xD1);
0x03E6	0x0ED1      	MOVLW       209
0x03E8	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x03EA	0xDFC3      	RCALL       _I2C1_Wr
;projetoFinal2.c,141 :: 		ucSegundo = I2C1_Rd(1);
0x03EC	0x0E01      	MOVLW       1
0x03EE	0x6E33      	MOVWF       FARG_I2C1_Rd_ack 
0x03F0	0xDF82      	RCALL       _I2C1_Rd
0x03F2	0xF032C000  	MOVFF       R0, _ucSegundo
;projetoFinal2.c,142 :: 		ucMinuto = I2C1_Rd(1);
0x03F6	0x0E01      	MOVLW       1
0x03F8	0x6E33      	MOVWF       FARG_I2C1_Rd_ack 
0x03FA	0xDF7D      	RCALL       _I2C1_Rd
0x03FC	0xF02FC000  	MOVFF       R0, _ucMinuto
;projetoFinal2.c,143 :: 		ucHora = I2C1_Rd(1);
0x0400	0x0E01      	MOVLW       1
0x0402	0x6E33      	MOVWF       FARG_I2C1_Rd_ack 
0x0404	0xDF78      	RCALL       _I2C1_Rd
0x0406	0xF030C000  	MOVFF       R0, _ucHora
;projetoFinal2.c,144 :: 		I2C1_Stop();
0x040A	0xDFC9      	RCALL       _I2C1_Stop
;projetoFinal2.c,145 :: 		}
L_end_Leitura_RTC:
0x040C	0x0012      	RETURN      0
; end of _Leitura_RTC
_EEPROM_Read:
;__Lib_EEPROM_256.c,7 :: 		
;__Lib_EEPROM_256.c,9 :: 		
0x040E	0x9CA6      	BCF         EECON1, 6 
;__Lib_EEPROM_256.c,10 :: 		
0x0410	0xFFA9C037  	MOVFF       FARG_EEPROM_Read_address, EEADR
;__Lib_EEPROM_256.c,11 :: 		
0x0414	0x9EA6      	BCF         EECON1, 7 
;__Lib_EEPROM_256.c,12 :: 		
0x0416	0x80A6      	BSF         EECON1, 0 
;__Lib_EEPROM_256.c,14 :: 		
0x0418	0xF000CFA8  	MOVFF       EEDATA, R0
;__Lib_EEPROM_256.c,16 :: 		
L_end_EEPROM_Read:
0x041C	0x0012      	RETURN      0
; end of _EEPROM_Read
___CC2DW:
;__Lib_System.c,21 :: 		
;__Lib_System.c,23 :: 		
_CC2DL_Loop1:
;__Lib_System.c,24 :: 		
0x041E	0x0009      	TBLRD*+
;__Lib_System.c,25 :: 		
0x0420	0xFFE6CFF5  	MOVFF       TABLAT, POSTINC1
;__Lib_System.c,26 :: 		
0x0424	0x0600      	DECF        R0, 1, 0
;__Lib_System.c,27 :: 		
0x0426	0xE1FB      	BNZ         _CC2DL_Loop1
;__Lib_System.c,28 :: 		
0x0428	0x0601      	DECF        R1, 1, 0
;__Lib_System.c,29 :: 		
0x042A	0xE1F9      	BNZ         _CC2DL_Loop1
;__Lib_System.c,31 :: 		
L_end___CC2DW:
0x042C	0x0012      	RETURN      0
; end of ___CC2DW
_Grava_RTC:
;projetoFinal2.c,147 :: 		void Grava_RTC()
;projetoFinal2.c,149 :: 		I2C1_Init(100000);
0x042E	0x0E14      	MOVLW       20
0x0430	0x6EC8      	MOVWF       SSPADD 
0x0432	0xDF94      	RCALL       _I2C1_Init
;projetoFinal2.c,150 :: 		I2C1_Start();
0x0434	0xDF75      	RCALL       _I2C1_Start
;projetoFinal2.c,151 :: 		I2C1_Wr(0xD0);
0x0436	0x0ED0      	MOVLW       208
0x0438	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x043A	0xDF9B      	RCALL       _I2C1_Wr
;projetoFinal2.c,152 :: 		I2C1_Wr(0);
0x043C	0x6A33      	CLRF        FARG_I2C1_Wr_data_ 
0x043E	0xDF99      	RCALL       _I2C1_Wr
;projetoFinal2.c,153 :: 		I2C1_Wr(0x04);
0x0440	0x0E04      	MOVLW       4
0x0442	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x0444	0xDF96      	RCALL       _I2C1_Wr
;projetoFinal2.c,154 :: 		I2C1_Wr(0x12);
0x0446	0x0E12      	MOVLW       18
0x0448	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x044A	0xDF93      	RCALL       _I2C1_Wr
;projetoFinal2.c,155 :: 		I2C1_Wr(0x09);
0x044C	0x0E09      	MOVLW       9
0x044E	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x0450	0xDF90      	RCALL       _I2C1_Wr
;projetoFinal2.c,156 :: 		I2C1_Wr(0x03);
0x0452	0x0E03      	MOVLW       3
0x0454	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x0456	0xDF8D      	RCALL       _I2C1_Wr
;projetoFinal2.c,157 :: 		I2C1_Wr(0x22);
0x0458	0x0E22      	MOVLW       34
0x045A	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x045C	0xDF8A      	RCALL       _I2C1_Wr
;projetoFinal2.c,158 :: 		I2C1_Wr(0x06);
0x045E	0x0E06      	MOVLW       6
0x0460	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x0462	0xDF87      	RCALL       _I2C1_Wr
;projetoFinal2.c,159 :: 		I2C1_Wr(0x17);
0x0464	0x0E17      	MOVLW       23
0x0466	0x6E33      	MOVWF       FARG_I2C1_Wr_data_ 
0x0468	0xDF84      	RCALL       _I2C1_Wr
;projetoFinal2.c,160 :: 		I2C1_Stop();
0x046A	0xDF99      	RCALL       _I2C1_Stop
;projetoFinal2.c,161 :: 		}
L_end_Grava_RTC:
0x046C	0x0012      	RETURN      0
; end of _Grava_RTC
_Div_16X16_U:
;__Lib_Math.c,102 :: 		
;__Lib_Math.c,109 :: 		
0x046E	0x6A08      	CLRF        R8, 0
;__Lib_Math.c,110 :: 		
0x0470	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,111 :: 		
0x0472	0x0E10      	MOVLW       16
;__Lib_Math.c,112 :: 		
0x0474	0x6E0C      	MOVWF       R12, 0
;__Lib_Math.c,113 :: 		
0x0476	0x3401      	RLCF        R1, 0, 0
;__Lib_Math.c,114 :: 		
0x0478	0x3608      	RLCF        R8, 1, 0
;__Lib_Math.c,115 :: 		
0x047A	0x3609      	RLCF        R9, 1, 0
;__Lib_Math.c,116 :: 		
0x047C	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,117 :: 		
0x047E	0x5E08      	SUBWF       R8, 1, 0
;__Lib_Math.c,118 :: 		
0x0480	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,119 :: 		
0x0482	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_Math.c,120 :: 		
0x0484	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,121 :: 		
0x0486	0x5E09      	SUBWF       R9, 1, 0
;__Lib_Math.c,122 :: 		
0x0488	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,123 :: 		
0x048A	0xD007      	BRA         $+16
;__Lib_Math.c,124 :: 		
0x048C	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,125 :: 		
0x048E	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,126 :: 		
0x0490	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,127 :: 		
0x0492	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,128 :: 		
0x0494	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,129 :: 		
0x0496	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,130 :: 		
0x0498	0x90D8      	BCF         STATUS, 0, 0
;__Lib_Math.c,131 :: 		
0x049A	0x3600      	RLCF        R0, 1, 0
;__Lib_Math.c,132 :: 		
0x049C	0x3601      	RLCF        R1, 1, 0
;__Lib_Math.c,133 :: 		
0x049E	0x2E0C      	DECFSZ      R12, 1, 0
;__Lib_Math.c,134 :: 		
0x04A0	0xD7EA      	BRA         $-42
;__Lib_Math.c,136 :: 		
L_end_Div_16X16_U:
0x04A2	0x0012      	RETURN      0
; end of _Div_16X16_U
_EEPROM_Write:
;__Lib_EEPROM_256.c,21 :: 		
;__Lib_EEPROM_256.c,24 :: 		
L_EEPROM_Write0:
0x04A4	0xA2A6      	BTFSS       EECON1, 1 
0x04A6	0xD002      	BRA         L_EEPROM_Write1
;__Lib_EEPROM_256.c,25 :: 		
0x04A8	0x0000      	NOP
0x04AA	0xD7FC      	BRA         L_EEPROM_Write0
L_EEPROM_Write1:
;__Lib_EEPROM_256.c,26 :: 		
0x04AC	0x9CA6      	BCF         EECON1, 6 
;__Lib_EEPROM_256.c,27 :: 		
0x04AE	0xFFA9C037  	MOVFF       FARG_EEPROM_Write_address, EEADR
;__Lib_EEPROM_256.c,28 :: 		
0x04B2	0xFFA8C038  	MOVFF       FARG_EEPROM_Write_data_, EEDATA
;__Lib_EEPROM_256.c,29 :: 		
0x04B6	0x9EA6      	BCF         EECON1, 7 
;__Lib_EEPROM_256.c,30 :: 		
0x04B8	0x84A6      	BSF         EECON1, 2 
;__Lib_EEPROM_256.c,32 :: 		
0x04BA	0xF000CFF2  	MOVFF       INTCON, R0
;__Lib_EEPROM_256.c,35 :: 		
0x04BE	0x9EF2      	BCF         INTCON, 7 
;__Lib_EEPROM_256.c,36 :: 		
0x04C0	0x0E55      	MOVLW       85
0x04C2	0x6EA7      	MOVWF       EECON2 
;__Lib_EEPROM_256.c,37 :: 		
0x04C4	0x0EAA      	MOVLW       170
0x04C6	0x6EA7      	MOVWF       EECON2 
;__Lib_EEPROM_256.c,38 :: 		
0x04C8	0x82A6      	BSF         EECON1, 1 
;__Lib_EEPROM_256.c,42 :: 		
0x04CA	0xBE00      	BTFSC       R0, 7 
0x04CC	0xD002      	BRA         L__EEPROM_Write4
0x04CE	0x9EF2      	BCF         INTCON, 7 
0x04D0	0xD001      	BRA         L__EEPROM_Write5
L__EEPROM_Write4:
0x04D2	0x8EF2      	BSF         INTCON, 7 
L__EEPROM_Write5:
;__Lib_EEPROM_256.c,44 :: 		
0x04D4	0x94A6      	BCF         EECON1, 2 
;__Lib_EEPROM_256.c,46 :: 		
L_end_EEPROM_Write:
0x04D6	0x0012      	RETURN      0
; end of _EEPROM_Write
_Display_LCD:
;projetoFinal2.c,163 :: 		void Display_LCD()
;projetoFinal2.c,166 :: 		Lcd_Out(1,1,"(Hora)");
0x04D8	0x0E01      	MOVLW       1
0x04DA	0x6E39      	MOVWF       FARG_Lcd_Out_row 
0x04DC	0x0E01      	MOVLW       1
0x04DE	0x6E3A      	MOVWF       FARG_Lcd_Out_column 
0x04E0	0x0E18      	MOVLW       ?lstr2_projetoFinal2
0x04E2	0x6E3B      	MOVWF       FARG_Lcd_Out_text 
0x04E4	0x0E00      	MOVLW       hi_addr(?lstr2_projetoFinal2)
0x04E6	0x6E3C      	MOVWF       FARG_Lcd_Out_text+1 
0x04E8	0xDEAB      	RCALL       _Lcd_Out
;projetoFinal2.c,167 :: 		Converte_BCD(1,7,ucHora);
0x04EA	0x0E01      	MOVLW       1
0x04EC	0x6E39      	MOVWF       FARG_Converte_BCD_ucLinha 
0x04EE	0x0E07      	MOVLW       7
0x04F0	0x6E3A      	MOVWF       FARG_Converte_BCD_ucColuna 
0x04F2	0xF03BC030  	MOVFF       _ucHora, FARG_Converte_BCD_ucValor
0x04F6	0xDEE7      	RCALL       _Converte_BCD
;projetoFinal2.c,168 :: 		Lcd_Chr_CP(':');
0x04F8	0x0E3A      	MOVLW       58
0x04FA	0x6E3E      	MOVWF       FARG_Lcd_Chr_CP_out_char 
0x04FC	0xDE8E      	RCALL       _Lcd_Chr_CP
;projetoFinal2.c,169 :: 		Converte_BCD(1,10,ucMinuto);
0x04FE	0x0E01      	MOVLW       1
0x0500	0x6E39      	MOVWF       FARG_Converte_BCD_ucLinha 
0x0502	0x0E0A      	MOVLW       10
0x0504	0x6E3A      	MOVWF       FARG_Converte_BCD_ucColuna 
0x0506	0xF03BC02F  	MOVFF       _ucMinuto, FARG_Converte_BCD_ucValor
0x050A	0xDEDD      	RCALL       _Converte_BCD
;projetoFinal2.c,170 :: 		Lcd_Chr_CP(':');
0x050C	0x0E3A      	MOVLW       58
0x050E	0x6E3E      	MOVWF       FARG_Lcd_Chr_CP_out_char 
0x0510	0xDE84      	RCALL       _Lcd_Chr_CP
;projetoFinal2.c,171 :: 		Converte_BCD(1,13,ucSegundo);
0x0512	0x0E01      	MOVLW       1
0x0514	0x6E39      	MOVWF       FARG_Converte_BCD_ucLinha 
0x0516	0x0E0D      	MOVLW       13
0x0518	0x6E3A      	MOVWF       FARG_Converte_BCD_ucColuna 
0x051A	0xF03BC032  	MOVFF       _ucSegundo, FARG_Converte_BCD_ucValor
0x051E	0xDED3      	RCALL       _Converte_BCD
;projetoFinal2.c,172 :: 		}
L_end_Display_LCD:
0x0520	0x0012      	RETURN      0
; end of _Display_LCD
_Lcd_Init:
;__Lib_Lcd.c,84 :: 		
;__Lib_Lcd.c,86 :: 		
0x0522	0x9296      	BCF         LCD_EN_Direction, BitPos(LCD_EN_Direction+0) 
;__Lib_Lcd.c,87 :: 		
0x0524	0x9496      	BCF         LCD_RS_Direction, BitPos(LCD_RS_Direction+0) 
;__Lib_Lcd.c,88 :: 		
0x0526	0x9895      	BCF         LCD_D4_Direction, BitPos(LCD_D4_Direction+0) 
;__Lib_Lcd.c,89 :: 		
0x0528	0x9A95      	BCF         LCD_D5_Direction, BitPos(LCD_D5_Direction+0) 
;__Lib_Lcd.c,90 :: 		
0x052A	0x9C95      	BCF         LCD_D6_Direction, BitPos(LCD_D6_Direction+0) 
;__Lib_Lcd.c,91 :: 		
0x052C	0x9E95      	BCF         LCD_D7_Direction, BitPos(LCD_D7_Direction+0) 
;__Lib_Lcd.c,93 :: 		
0x052E	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,94 :: 		
0x0530	0x9484      	BCF         LCD_RS, BitPos(LCD_RS+0) 
;__Lib_Lcd.c,95 :: 		
0x0532	0x9E83      	BCF         LCD_D7, BitPos(LCD_D7+0) 
;__Lib_Lcd.c,96 :: 		
0x0534	0x9C83      	BCF         LCD_D6, BitPos(LCD_D6+0) 
;__Lib_Lcd.c,97 :: 		
0x0536	0x9A83      	BCF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,98 :: 		
0x0538	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,100 :: 		
0x053A	0xDDF6      	RCALL       _Delay_5500us
;__Lib_Lcd.c,101 :: 		
0x053C	0xDDF5      	RCALL       _Delay_5500us
;__Lib_Lcd.c,102 :: 		
0x053E	0xDDF4      	RCALL       _Delay_5500us
;__Lib_Lcd.c,105 :: 		
0x0540	0x8A83      	BSF         LCD_D5, BitPos(LCD_D5+0) 
;__Lib_Lcd.c,106 :: 		
0x0542	0x8883      	BSF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,107 :: 		
0x0544	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,108 :: 		
0x0546	0xDDFB      	RCALL       _Delay_1us
;__Lib_Lcd.c,109 :: 		
0x0548	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,110 :: 		
0x054A	0xDDEE      	RCALL       _Delay_5500us
;__Lib_Lcd.c,112 :: 		
0x054C	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,113 :: 		
0x054E	0xDDF7      	RCALL       _Delay_1us
;__Lib_Lcd.c,114 :: 		
0x0550	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,115 :: 		
0x0552	0xDDEA      	RCALL       _Delay_5500us
;__Lib_Lcd.c,117 :: 		
0x0554	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,118 :: 		
0x0556	0xDDF3      	RCALL       _Delay_1us
;__Lib_Lcd.c,119 :: 		
0x0558	0x9284      	BCF         LCD_EN, BitPos(LCD_EN+0) 
;__Lib_Lcd.c,120 :: 		
0x055A	0xDDE6      	RCALL       _Delay_5500us
;__Lib_Lcd.c,123 :: 		
0x055C	0x9883      	BCF         LCD_D4, BitPos(LCD_D4+0) 
;__Lib_Lcd.c,124 :: 		
0x055E	0x8284      	BSF         LCD_EN, BitPos(LCD_EN+0) 
